"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dhrs11","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dhx16","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Diablo","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dip2a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Diras1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Diras2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dkc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dlat","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Smooth muscle cell","Dlc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dld","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Dlg5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Dlgap2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Interneuron-selective cell","Dlgap3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dlgap3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dlst","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuroblast","Dlx1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuroblast","Dlx2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Dorsal otocyst","Dlx5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuroblast","Dlx5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuroblast","Dlx6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Dmd","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Dnah10","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Dnah10","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Dnah11","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Dnah12","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Dnah3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Dnah5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Dnah6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dnajb14","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dnajc13","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dnajc27","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dnajc28","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Dnph1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Dock1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Dock2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Dock2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Dock4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Smooth muscle cell","Dock6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Dock8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Dock8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dock9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Dok5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Dok6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Interneuron-selective cell","Dok7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Dok7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Donson","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dopey2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","Dpy19l1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Dpy19l1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Dpysl3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Drd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Dscam","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dscam","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Dscaml1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dtd2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dtnbp1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Dubr","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Dupd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Dusp11","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Chandelier cell","Dusp14","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dusp15","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dusp19","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dusp27","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dusp28","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Dusp6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Dync1i1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dync2h1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuron","Dynll2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Dzip1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","E130309D02Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","E230008N13Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","E230016M11Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","E2f6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Ebag9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Ebf3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Ebf4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Mural cell","Ecm2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Edaradd","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Edil3","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Smooth muscle cell","Ednra","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Ednrb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Ednrb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Eef2kmt","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Efemp1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Efemp2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Efhb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Efna5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Efnb1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Efnb3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Efr3b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Efs","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Egfl7","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","Egfl7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Egfl7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Smooth muscle cell","Egflam","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Egflam","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Interneuron-selective cell","Egfr","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Egln2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","CCK basket cell","Egln3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Ehbp1l1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Ehd4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Eif1ad","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Eif2ak4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Eif2b4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","CCK basket cell","Eif2c2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Basket cell","Eif5a2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Eif5a2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Elfn2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Elmo1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Elmod1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Elovl1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Elovl4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Elovl5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Elp4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Eltd1","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Emb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Emcn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Emid1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Emid1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Eml1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Eml6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Emr1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Emr1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Dorsal otocyst","Emx2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Emx2os","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Enah","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Endod1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Eng","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Enkur","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Eno1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Eno4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Enpp2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Enpp2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Enpp4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Entpd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Entpd2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Entpd3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Entpd6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Epas1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Smooth muscle cell","Epas1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Chandelier cell","Epb4.1l4a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Epb41","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Epb41l1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Epb41l3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Epb41l4a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Epb41l4a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Epdr1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Epha3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Epha4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Epha8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Ephb2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Ephx4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Epn2","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Epn2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Epn3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Eps15","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Eps15","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","CCK basket cell","Eps8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Eral1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Erc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Erg","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Erich1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Erich3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Erlin2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Ermn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Ern1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Chandelier cell","Errfi1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Esam","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Espn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Esr2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Basket cell","Esrrg","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Esrrg","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Esyt1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Etf1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Ethe1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Etohi1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Ets1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Smooth muscle cell","Ets1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Basket cell","Etv6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Eva1a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Eva1c","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuroblast","Evf1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Evi2a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Exoc5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Ext2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Extl2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Late neuroblast","Eya2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Ezr","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Ezr","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","F11r","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","F11r","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","F13a1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","F2r","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","F2r","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","F630111L10Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","F730043M19Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","F8a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Fa2h","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fa2h","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Faah","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Fabp7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Faim2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Faim2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fam117a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam126b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam13b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam155a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","CCK basket cell","Fam163a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Chandelier cell","Fam163b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam175b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fam178b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam184b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam189a2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fam20a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam20c","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Fam219aos","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fam219b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fam227a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam234b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Fam3c","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Basket cell","Fam43a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Fam43b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","Fam46a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam53b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam57b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Fam65b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam65b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam73b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam78a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Fam78b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Fam84a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fam98c","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Fanca","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Farp2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Fat1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fat1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Fat3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Fat3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fbln5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fbln7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Fbn2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuron","Fbxl16","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Fbxl7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Activated neural stem cell","Fbxo2","Single-cell sequencing","1","DETAIL"
